Image,Experiment,GT,GPT-4V,GPT-4V-B,FUYU,ADAPTER,OTTER,,,,,,,,,,,,,,,,,P3
305,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
310,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
311,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
319,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
325,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
326,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
331,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
346,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
351,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
352,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
366,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
367,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
372,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
373,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
387,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
388,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
392,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
393,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
413,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
416,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
417,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
433,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
434,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
437,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
438,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
440,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
454,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
458,1,White,Red,White,White,White,White,,,,,,,,,,,,,,,,,
460,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
464,1,White,Red,White,White,White,White,,,,,,,,,,,,,,,,,
474,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
478,1,White,White,White,White,Blue,White,,,,,,,,,,,,,,,,,
479,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
480,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
481,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
484,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
485,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
499,1,White,Green,White,White,White,White,,,,,,,,,,,,,,,,,
504,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
505,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
509,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
510,1,White,Yellow,White,White,White,White,,,,,,,,,,,,,,,,,
1,2,3,3,3,3,4,6,,,,,,,,,,,,,,,,,
3,2,3,3,3,3,3,5,,,,,,,,,,,,,,,,,
5,2,3,3,3,3,4,6,,,,,,,,,,,,,,,,,
7,2,3,3,3,3,4,7,,,,,,,,,,,,,,,,,
18,2,3,3,3,5,4,5,,,,,,,,,,,,,,,,,
20,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,4
22,2,4,4,4,4,4,6,,,,,,,,,,,,,,,,,3
38,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,
40,2,4,5,4,5,4,7,,,,,,,,,,,,,,,,,4
42,2,4,5,4,6,4,4,,,,,,,,,,,,,,,,,2
44,2,4,5,4,5,4,6,,,,,,,,,,,,,,,,,4
62,2,2,2,2,2,3,6,,,,,,,,,,,,,,,,,4
63,2,2,2,2,2,3,3,,,,,,,,,,,,,,,,,
64,2,2,1,2,3,3,1,,,,,,,,,,,,,,,,,4
65,2,2,2,2,2,3,5,,,,,,,,,,,,,,,,,
67,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,
85,2,4,4,4,3,4,6,,,,,,,,,,,,,,,,,
87,2,4,4,4,3,3,7,,,,,,,,,,,,,,,,,
89,2,4,3,4,3,3,6,,,,,,,,,,,,,,,,,
91,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
105,2,3,3,3,3,4,5,,,,,,,,,,,,,,,,,
111,2,3,3,3,4,4,4,,,,,,,,,,,,,,,,,
121,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,4
125,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,
126,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,
131,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,
132,2,4,4,4,5,4,5,,,,,,,,,,,,,,,,,
146,2,4,4,4,5,10,6,,,,,,,,,,,,,,,,,
147,2,4,4,4,3,5,6,,,,,,,,,,,,,,,,,
152,2,4,4,4,4,10,7,,,,,,,,,,,,,,,,,
166,2,2,2,2,3,3,1,,,,,,,,,,,,,,,,,
167,2,2,2,2,3,3,,,,,,,,,,,,,,,,,,
172,2,2,2,2,2,3,5,,,,,,,,,,,,,,,,,
173,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
187,2,2,1,2,2,3,3,,,,,,,,,,,,,,,,,
188,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,
193,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,
194,2,2,2,2,3,4,6,,,,,,,,,,,,,,,,,
213,2,4,4,4,5,5,7,,,,,,,,,,,,,,,,,
214,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,3
217,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,
234,2,3,3,3,3,4,8,,,,,,,,,,,,,,,,,4
237,2,3,3,3,3,4,5,,,,,,,,,,,,,,,,,
238,2,3,3,3,3,4,7,,,,,,,,,,,,,,,,,
240,2,3,3,3,3,4,6,,,,,,,,,,,,,,,,,
254,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,3
258,2,2,2,2,3,3,1,,,,,,,,,,,,,,,,,
259,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,
260,2,2,2,2,2,3,1,,,,,,,,,,,,,,,,,
261,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,
275,2,4,4,4,5,4,5,,,,,,,,,,,,,,,,,4
279,2,4,4,4,3,12,5,,,,,,,,,,,,,,,,,
280,2,4,3,4,5,4,6,,,,,,,,,,,,,,,,,
281,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,
285,2,4,4,4,5,10,7,,,,,,,,,,,,,,,,,
295,2,3,3,3,4,4,6,,,,,,,,,,,,,,,,,2
299,2,3,3,3,5,3,4,,,,,,,,,,,,,,,,,
304,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
305,2,3,3,3,4,4,5,,,,,,,,,,,,,,,,,
310,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
311,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
319,2,3,3,3,3,3,5,,,,,,,,,,,,,,,,,3
325,2,3,3,3,3,4,1,,,,,,,,,,,,,,,,,
326,2,3,3,3,3,3,5,,,,,,,,,,,,,,,,,
331,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
346,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,
351,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,
352,2,3,3,3,3,4,2,,,,,,,,,,,,,,,,,
366,2,3,3,3,3,4,6,,,,,,,,,,,,,,,,,
367,2,3,3,3,3,4,5,,,,,,,,,,,,,,,,,
372,2,4,4,4,5,5,4,,,,,,,,,,,,,,,,,
373,2,4,4,4,5,12,7,,,,,,,,,,,,,,,,,
387,2,4,4,4,5,5,6,,,,,,,,,,,,,,,,,
388,2,4,4,4,5,4,9,,,,,,,,,,,,,,,,,3
392,2,4,4,4,3,4,7,,,,,,,,,,,,,,,,,
393,2,4,4,4,5,5,7,,,,,,,,,,,,,,,,,
413,2,3,3,3,3,4,1,,,,,,,,,,,,,,,,,2
416,2,3,3,3,3,4,1,,,,,,,,,,,,,,,,,
417,2,3,3,3,4,4,6,,,,,,,,,,,,,,,,,
433,2,2,2,2,3,2,2,,,,,,,,,,,,,,,,,2
434,2,2,2,2,2,3,6,,,,,,,,,,,,,,,,,4
437,2,2,2,2,3,2,2,,,,,,,,,,,,,,,,,
438,2,2,2,2,2,3,6,,,,,,,,,,,,,,,,,
440,2,2,1,2,3,2,1,,,,,,,,,,,,,,,,,
454,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,2
458,2,4,4,4,5,4,7,,,,,,,,,,,,,,,,,
460,2,4,4,4,5,4,4,,,,,,,,,,,,,,,,,
464,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,
474,2,3,3,3,3,6,1,,,,,,,,,,,,,,,,,4
478,2,3,3,3,3,3,4,,,,,,,,,,,,,,,,,
479,2,3,3,3,3,4,3,,,,,,,,,,,,,,,,,
480,2,3,3,3,5,4,1,,,,,,,,,,,,,,,,,
481,2,3,3,3,3,4,1,,,,,,,,,,,,,,,,,
484,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
485,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
499,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,
504,2,3,3,3,3,4,5,,,,,,,,,,,,,,,,,
505,2,3,3,3,3,4,4,,,,,,,,,,,,,,,,,
509,2,3,3,3,5,4,7,,,,,,,,,,,,,,,,,
510,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,
1,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
3,3,1,60,1,1,1,1,,,,,,,,,,,,,,,,,
5,3,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
7,3,1,75,1,1,1,1,,,,,,,,,,,,,,,,,
18,3,0,1,1,1,1,1,,,,,,,,,,,,,,,,,
20,3,0,80,0,1,1,1,,,,,,,,,,,,,,,,,0
22,3,0,60,1,1,1,1,,,,,,,,,,,,,,,,,5
38,3,1,70,1,1,1,1,,,,,,,,,,,,,,,,,
40,3,1,70,1,1,1,1,,,,,,,,,,,,,,,,,15
42,3,1,60,0,1,1,1,,,,,,,,,,,,,,,,,5
44,3,1,75,0,1,1,1,,,,,,,,,,,,,,,,,5
62,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,30
63,3,1,75,0,0,1,1,,,,,,,,,,,,,,,,,
64,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,15
65,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
67,3,1,1,0,0,1,1,,,,,,,,,,,,,,,,,
85,3,1,60,1,1,1,1,,,,,,,,,,,,,,,,,
87,3,0,75,0,1,1,1,,,,,,,,,,,,,,,,,
89,3,1,70,0,0,1,1,,,,,,,,,,,,,,,,,
91,3,0,70,0,0,1,1,,,,,,,,,,,,,,,,,
105,3,0,1,0,0,1,1,,,,,,,,,,,,,,,,,
111,3,1,80,1,0,1,1,,,,,,,,,,,,,,,,,
121,3,0,60,1,1,1,1,,,,,,,,,,,,,,,,,75
125,3,0,70,1,0,1,1,,,,,,,,,,,,,,,,,
126,3,0,85,0,1,1,1,,,,,,,,,,,,,,,,,
131,3,1,60,1,1,1,1,,,,,,,,,,,,,,,,,
132,3,1,80,1,0,1,1,,,,,,,,,,,,,,,,,
146,3,1,60,1,0,1,1,,,,,,,,,,,,,,,,,
147,3,0,60,0,1,1,1,,,,,,,,,,,,,,,,,
152,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
166,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
167,3,0,75,0,1,1,1,,,,,,,,,,,,,,,,,
172,3,1,70,0,0,1,1,,,,,,,,,,,,,,,,,
173,3,1,1,0,0,1,1,,,,,,,,,,,,,,,,,
187,3,1,100,0,0,1,1,,,,,,,,,,,,,,,,,
188,3,0,70,0,0,1,1,,,,,,,,,,,,,,,,,
193,3,1,80,1,0,1,1,,,,,,,,,,,,,,,,,
194,3,1,85,1,1,1,1,,,,,,,,,,,,,,,,,
213,3,1,70,0,0,1,1,,,,,,,,,,,,,,,,,
214,3,0,1,0,1,1,1,,,,,,,,,,,,,,,,,40
217,3,0,75,0,1,1,1,,,,,,,,,,,,,,,,,
234,3,1,70,0,0,1,1,,,,,,,,,,,,,,,,,50
237,3,0,75,0,0,1,1,,,,,,,,,,,,,,,,,
238,3,0,70,0,0,1,1,,,,,,,,,,,,,,,,,
240,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,
254,3,1,1,0,0,1,1,,,,,,,,,,,,,,,,,8
258,3,0,85,0,1,1,1,,,,,,,,,,,,,,,,,
259,3,1,85,0,0,1,1,,,,,,,,,,,,,,,,,
260,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,
261,3,1,1,1,0,1,1,,,,,,,,,,,,,,,,,
275,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,35
279,3,0,80,0,1,1,1,,,,,,,,,,,,,,,,,
280,3,0,70,0,0,1,1,,,,,,,,,,,,,,,,,
281,3,0,75,0,1,1,1,,,,,,,,,,,,,,,,,
285,3,1,80,1,1,1,1,,,,,,,,,,,,,,,,,
295,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,50
299,3,1,60,1,1,1,1,,,,,,,,,,,,,,,,,
304,3,0,60,1,0,1,1,,,,,,,,,,,,,,,,,
305,3,0,75,0,0,1,1,,,,,,,,,,,,,,,,,
310,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,
311,3,0,70,0,0,1,1,,,,,,,,,,,,,,,,,
319,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,15
325,3,1,85,0,0,1,1,,,,,,,,,,,,,,,,,
326,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,
331,3,1,70,1,0,1,1,,,,,,,,,,,,,,,,,
346,3,0,85,0,0,1,1,,,,,,,,,,,,,,,,,
351,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
352,3,0,85,0,1,1,1,,,,,,,,,,,,,,,,,
366,3,0,60,0,1,1,1,,,,,,,,,,,,,,,,,
367,3,1,80,0,1,1,1,,,,,,,,,,,,,,,,,
372,3,0,70,1,1,1,1,,,,,,,,,,,,,,,,,
373,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,
387,3,0,60,1,1,1,0,,,,,,,,,,,,,,,,,
388,3,1,65,1,1,1,1,,,,,,,,,,,,,,,,,80
392,3,0,70,1,0,1,1,,,,,,,,,,,,,,,,,
393,3,0,70,1,1,1,1,,,,,,,,,,,,,,,,,
413,3,1,75,0,1,1,1,,,,,,,,,,,,,,,,,0
416,3,0,80,0,0,1,1,,,,,,,,,,,,,,,,,
417,3,0,1,0,0,1,1,,,,,,,,,,,,,,,,,
433,3,0,90,0,0,1,1,,,,,,,,,,,,,,,,,0
434,3,1,90,0,0,1,1,,,,,,,,,,,,,,,,,20
437,3,1,85,0,0,1,1,,,,,,,,,,,,,,,,,
438,3,1,80,1,0,1,1,,,,,,,,,,,,,,,,,
440,3,1,85,0,0,1,1,,,,,,,,,,,,,,,,,
454,3,0,60,1,1,1,1,,,,,,,,,,,,,,,,,80
458,3,1,60,1,1,1,1,,,,,,,,,,,,,,,,,
460,3,1,80,0,0,1,1,,,,,,,,,,,,,,,,,
464,3,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
474,3,1,70,0,0,1,1,,,,,,,,,,,,,,,,,10
478,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,
479,3,1,60,1,0,1,1,,,,,,,,,,,,,,,,,
480,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
481,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,
484,3,0,60,0,1,1,1,,,,,,,,,,,,,,,,,
485,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
499,3,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
504,3,0,70,0,1,1,1,,,,,,,,,,,,,,,,,
505,3,1,70,0,1,1,1,,,,,,,,,,,,,,,,,
509,3,1,80,0,,1,1,,,,,,,,,,,,,,,,,
510,3,0,1,0,1,1,1,,,,,,,,,,,,,,,,,
