ExpId,Type,Variable,Lower,Upper,Human,TerrainNo,JointInference,RateInference,Heuristic,Z_JointInference,Z_RateInference,Id,GPT-4V,FUYU,ADAPTER,OTTER,CLAUDE-3
5,Reward,BottomTreat,-0.7382625219,-0.3556838303,-0.5377639684,1,8.077468856,9.843899827,-0.7348469228,-0.4215482768,0.06318441257,a,0,3,8,7,7
5,Reward,TopTreat,1.176862658,1.530895457,1.327349609,1,21.71296326,20.00535029,1.306394529,1.798202518,1.374330044,a,10,3,8,7,7
6,Cost,Inside,-0.6746486961,-0.1674287559,-0.4135898218,2,4.145071244,4.031709824,-0.3840854532,-0.4412768826,-0.9800621929,a,3,0,,7,2
6,Cost,Outside,-0.0779249991,0.4580917336,0.1817510244,2,6.413284565,6.411672283,1.198517048,0.821092955,0.6560445552,a,7,0,3,7,8
6,Reward,TopTreat,0.4270644699,0.7815196369,0.6125110271,2,13.38452295,15.02360792,1.306394529,0.4423982143,0.7315291202,a,0,3,8,8,7
7,Cost,Inside,1.191793283,1.453538487,1.316889335,2,7.209513742,7.352034787,1.198517048,1.264232799,1.302497373,a,5,0,5,7,3
7,Cost,Outside,-1.228977612,-0.9151865301,-1.067777554,2,2.101412331,2.928668341,-1.032952479,-1.578671389,-1.738348781,a,0,0,,7,4
7,Reward,TopTreat,-0.7121443229,-0.3852441018,-0.5397121388,2,5.777209229,0.451677605,-0.7348469228,-0.7960123765,-1.148706664,a,0,3,8,8,7
8,Cost,Inside,0.9172585228,1.275671987,1.084167226,2,6.105971245,5.159927237,1.198517048,0.6500583075,-0.2044683949,a,5,0,5,7,3
8,Cost,Outside,-0.7854408149,-0.423656035,-0.6020125677,2,3.163156795,4.956610468,-1.032952479,-0.9877595136,-0.3442386407,a,7,0,5,7,6
8,Reward,TopTreat,0.8662887259,1.272968427,1.059263987,2,15.52552386,15.24031815,1.306394529,0.7909362528,0.7594915329,a,0,3,8,7,7
9,Cost,Inside,-0.7722061566,-0.2583667815,-0.5045297062,2,3.889113548,4.580463508,-0.3840854532,-0.5837296546,-0.6028211142,a,,0,,7,3
9,Cost,Outside,0.2588492352,0.7373016567,0.4754726542,2,7.007400066,7.718350548,1.198517048,1.151746814,1.554321383,a,,0,3,7,8
9,Reward,TopTreat,-0.5937392092,-0.1449726365,-0.3566737016,2,9.832603606,0.722101968,-0.7348469228,-0.1358262016,-1.113813444,a,,3,8,8,7
10,Cost,Inside,1.159627213,1.456671225,1.300486863,2,6.738381485,7.30986431,1.198517048,1.002025032,1.273507251,a,7,0,,7,2
10,Cost,Outside,-1.14473783,-0.7839068063,-0.9586104462,2,2.430331375,3.236900086,-1.032952479,-1.395612116,-1.526454667,a,7,0,,7,7
10,Reward,TopTreat,-1.171748082,-0.9038974625,-1.039804088,2,0,0.263191199,-0.7348469228,-1.73649641,-1.173027318,a,0,3,8,8,7
11,Cost,Inside,0.6065019318,1.112161621,0.8421183057,2,6.637930666,6.019387883,1.198517048,0.946119318,0.386368388,a,7,0,5,7,4
11,Cost,Outside,-0.7908919375,-0.3780724794,-0.5780319782,2,2.780436247,3.739654547,-1.032952479,-1.200761911,-1.180835784,a,7,0,5,7,4
11,Reward,BottomTreat,-0.748002848,-0.3258528472,-0.5239258645,2,8.49101151,10.57737555,-0.7348469228,-0.3542267989,0.1578257724,a,0,3,8,7,7
11,Reward,TopTreat,0.7828895009,1.22117209,0.9848990885,2,16.80397633,19.28065902,1.306394529,0.9990582176,1.280822154,a,0,3,8,7,7
12,Cost,Inside,-0.7952409428,-0.3072104244,-0.5385557862,2,4.076837436,3.746682268,-0.3840854532,-0.4792522795,-1.176004573,a,6,0,3,7,2
12,Cost,Outside,0.3022039959,0.7483098066,0.5209050639,2,6.608687201,6.483579796,1.198517048,0.9298439228,0.705477422,a,,0,,7,8
12,Reward,BottomTreat,0.5536359956,0.9135384754,0.7325850004,2,14.39543723,17.97682638,1.306394529,0.6069670749,1.112586873,a,0,3,8,7,7
12,Reward,TopTreat,-0.7560842813,-0.4061417301,-0.5755398907,2,11.25088522,13.17419821,-0.7348469228,0.09505884347,0.4928972959,a,7,3,8,7,7
13,Cost,Inside,1.160486477,1.456518159,1.30403963,2,7.465493943,6.997282605,1.198517048,1.406698096,1.058622754,a,3,0,3,7,2
13,Cost,Outside,-1.281453138,-0.9984063547,-1.139407288,2,2.120130571,4.550626606,-1.032952479,-1.568253788,-0.623332512,a,7,0,,7,3
13,Reward,BottomTreat,-0.3155477383,0.07256365495,-0.119997015,2,6.338070476,1.191160808,-0.7348469228,-0.7047085952,-1.053290151,a,0,3,8,7,7
13,Reward,TopTreat,-1.091668755,-0.7895519032,-0.9311085619,2,0,1.213602293,-0.7348469228,-1.73649641,-1.050394496,a,0,3,8,7,7
14,Cost,Inside,-0.9427841649,-0.4103311191,-0.6703821361,2,3.729891184,4.555181735,-0.3840854532,-0.6723445604,-0.6202010855,a,8,0,5,7,3
14,Cost,Outside,0.1608316685,0.7967560284,0.4610981216,2,7.205752372,7.811551056,1.198517048,1.262139415,1.618392133,a,7,0,2,7,7
14,Reward,BottomTreat,-0.6919151963,-0.3279054904,-0.5093275041,2,10.30943297,1.266392753,-0.7348469228,-0.0582021472,-1.043582871,a,0,3,8,7,7
14,Reward,TopTreat,-0.6825061894,-0.2283288501,-0.451942651,2,10.47607631,1.210885008,-0.7348469228,-0.03107392761,-1.05074511,a,0,3,8,7,7
15,Cost,Inside,0.6578947168,1.116686982,0.877161003,2,5.835311275,5.037269481,1.198517048,0.4994230127,-0.2887895494,a,5,0,3,7,3
15,Cost,Outside,-0.7327063659,-0.3038643039,-0.511273971,2,3.321820907,4.869480557,-1.032952479,-0.8994553019,-0.4041361549,a,7,0,,7,4
15,Reward,BottomTreat,-0.8755864088,-0.547533515,-0.7080695465,2,7.647678958,9.809014393,-0.7348469228,-0.4915146777,0.05868309806,a,0,3,8,7,7
15,Reward,TopTreat,0.908714761,1.412167948,1.139073776,2,19.62500659,19.7249045,1.306394529,1.458299663,1.338143746,a,0,3,8,8,7
1,Cost,Left,-0.966083041,-0.411054152,-0.670607292,2,4.022641286,4.279090517,-0.335579807,-0.466438224,-0.253564405,b,5,0,3,7,8
1,Cost,Right,0.674063148,1.116202418,0.895949118,2,5.981943935,5.617178647,1.174529326,0.931795037,0.642615579,b,4,0,5,7,2
1,Reward,LTreat,0.569366388,0.986187716,0.759271177,2,55.2066509,56.04412624,0.892728372,0.798473845,0.955294733,b,2,3,8,8,7
1,Reward,RTreat,-0.983272337,-0.54775972,-0.735438078,2,25.15345369,24.12359386,-1.084027309,-0.833649358,-0.758918402,b,7,3,8,7,6
2,Cost,Left,-0.657734272,-0.207998731,-0.435196183,2,5.033194719,0.024599646,-0.335579807,0.254731332,-3.10299523,b,7,0,5,7,2
2,Cost,Right,0.616910835,0.978870073,0.79678467,2,5.517090085,5.913955587,1.174529326,0.600057561,0.841380928,b,10,0,3,7,2
2,Reward,LTreat,0.160676008,0.66453413,0.403285342,2,46.04193179,50.62956804,0.892728372,0.300758058,0.664519295,b,7,3,8,8,7
2,Reward,RTreat,-0.834502131,-0.406417848,-0.613697427,2,32.55590705,26.82578919,-1.084027309,-0.431638358,-0.613803694,b,7,3,8,8,8
3,Cost,Left,-0.418385278,0.188351475,-0.114343598,2,5.02605701,5.405866457,-0.335579807,0.24963759,0.501089957,b,7,0,3,7,8
3,Cost,Right,-0.687064767,-0.069988219,-0.364653066,2,3.194987505,4.750591873,-0.335579807,-1.057083598,0.062222028,b,5,0,3,7,2
3,Reward,LTreat,-1.266580423,-0.810216611,-1.023217461,2,14.75824286,9.02118102,-1.084027309,-1.398190451,-1.56995608,b,2,3,8,8,7
3,Reward,RTreat,0.847468694,1.217851816,1.018003843,2,71.48647127,54.74753204,0.892728372,1.682595171,0.885664353,b,7,3,8,7,8
4,Cost,Left,-1.159422951,-0.86089408,-1.010923298,2,2.107257628,4.239314297,-1.629959064,-1.833329215,-0.280204394,b,5,0,2,7,8
4,Cost,Right,0.872822842,1.318155685,1.092648376,2,5.927556095,5.603643346,1.174529326,0.892981795,0.633550358,b,,0,5,7,2
4,Reward,LTreat,0.844997802,1.203956811,1.014213472,2,63.35038252,53.22551851,0.892728372,1.240742042,0.803928386,b,8,3,8,7,7
4,Reward,RTreat,-1.153539488,-0.742358579,-0.926665388,2,18.89776307,10.90494567,-1.084027309,-1.173382191,-1.468793165,b,5,3,8,7,6
5,Cost,Left,0.294867852,0.879645911,0.567427011,2,5.648275397,5.422834876,1.174529326,0.693676414,0.512454498,b,7,0,5,7,2
5,Cost,Right,-0.397997192,0.135909985,-0.129662645,2,4.914935408,4.770343518,0.527339697,0.170336967,0.075450625,b,5,0,5,7,2
5,Reward,LTreat,-0.876433118,-0.535276167,-0.703545668,2,34.56654098,33.70503098,-1.084027309,-0.32244524,-0.244371051,b,8,3,8,8,7
5,Reward,RTreat,0.603771529,0.909374323,0.751737938,2,44.77191119,52.84175557,0.892728372,0.231786025,0.783319348,b,5,3,8,9,7
6,Cost,Left,-0.20733124,0.191175446,-0.005591081,2,4.828205392,4.686652966,-0.551309684,0.108443113,0.019399162,b,7,0,3,7,2
6,Cost,Right,0.447842627,1.089543802,0.748788296,2,5.381984,5.224680791,1.174529326,0.503640695,0.379741472,b,7,0,5,7,2
6,Reward,LTreat,0.20808246,0.568899756,0.379109091,2,52.2079431,57.01195872,0.892728372,0.635620603,1.00726978,b,7,3,8,8,7
6,Reward,RTreat,-0.9356543,-0.616858163,-0.770277905,2,24.48561806,28.33319193,-1.084027309,-0.869918046,-0.532852363,b,7,3,8,7,6
7,Cost,Left,-0.573441522,0.010498557,-0.287522002,2,5.241039261,5.391538823,-0.335579807,0.403057142,0.491494073,b,5,0,2,7,8
7,Cost,Right,-0.582354745,-0.121808293,-0.340737028,2,4.422433193,4.764769615,0.527339697,-0.181131438,0.071717523,b,5,0,3,7,2
7,Reward,LTreat,-1.360782686,-0.86171571,-1.099098443,2,18.63071684,15.78446414,-1.084027309,-1.187884886,-1.20675071,b,7,4,8,8,7
7,Reward,RTreat,0.793804894,1.097268863,0.932875525,2,62.24864994,56.78731072,0.892728372,1.180909363,0.995205615,b,0,3,8,6,7
8,Cost,Left,-0.746761694,-0.190703544,-0.460317895,2,3.387867313,3.833997242,-0.335579807,-0.919437195,-0.551664116,b,5,0,5,7,2
8,Cost,Right,0.241177418,1.0125726,0.611364492,2,6.760662903,6.329765852,1.174529326,1.487518658,1.119868442,b,5,0,5,7,2
8,Reward,LTreat,0.250909109,0.595673089,0.418076598,2,39.73008237,40.42832474,0.892728372,-0.042024636,0.116686789,b,7,3,8,7,7
9,Cost,Left,-1.439912279,-0.965661731,-1.198567509,2,0.784801592,3.061091615,-1.629959064,-2.777084391,-1.069315037,b,7,0,5,7,8
9,Cost,Right,1.242481811,1.769392403,1.489490409,2,6.55686031,5.898510762,1.174529326,1.342077337,0.831036809,b,5,0,3,7,2
9,Reward,LTreat,0.159195417,0.624755478,0.38458637,2,41.81007313,21.63215855,0.892728372,0.070935098,-0.892714765,b,4,3,8,8,7
10,Cost,Left,0.126500668,0.641001263,0.378123203,2,5.619865597,5.562492052,1.174529326,0.673402095,0.605989418,b,7,0,5,7,2
10,Cost,Right,-0.423565737,0.148260198,-0.132296626,2,4.859394846,4.749572587,0.527339697,0.1307011,0.061539365,b,5,0,5,7,2
10,Reward,LTreat,0.229464686,0.639352954,0.438992992,2,40.27056253,43.8108504,0.892728372,-0.012672344,0.298336952,b,7,3,8,8,7
11,Cost,Left,-0.462701785,0.13554079,-0.158022576,1,4.94828042,5.077849164,-0.335579807,0.194133243,0.281401488,b,,0,2,7,2
11,Reward,LTreat,0.586578903,1.057841758,0.802794856,1,58.79450621,57.78556593,0.892728372,0.993322395,1.048814439,b,7,4,8,8,7
11,Reward,RTreat,-1.068947146,-0.688786991,-0.853486391,1,21.11267927,21.44280737,-1.084027309,-1.053094952,-0.902883401,b,7,4,8,7,6
12,Cost,Left,-0.31779273,0.104788058,-0.112122748,1,5.472283926,0.023401533,-0.335579807,0.568082174,-3.103797662,b,7,0,,7,2
12,Reward,LTreat,0.33818026,0.667020065,0.501879476,1,46.95502073,65.36779258,0.892728372,0.350345915,1.455999142,b,7,3,8,8,7
12,Reward,RTreat,-0.775273818,-0.459933904,-0.620123034,1,32.16965633,43.57098925,-1.084027309,-0.452614787,0.285455803,b,7,3,8,7,7
13,Cost,Left,-0.684138112,0.131579273,-0.27039253,1,3.172549179,4.916078768,-1.845688941,-1.073096445,0.173056314,b,7,0,5,7,2
13,Reward,LTreat,-1.259828169,-0.793142256,-1.011286385,1,14.25360091,7.768437727,-1.084027309,-1.425596448,-1.637231556,b,7,3,8,7,7
13,Reward,RTreat,0.966978019,1.347266563,1.132222791,1,70.85038752,55.13445426,0.892728372,1.648050858,0.906443053,b,7,3,8,7,8
14,Cost,Left,-0.84797651,-0.169538813,-0.494102056,1,2.177850347,5.074025535,-1.629959064,-1.782951552,0.278840626,b,7,0,,7,3
14,Reward,LTreat,0.85441447,1.230609371,1.02843866,1,70.20303526,51.3810302,0.892728372,1.612894577,0.704874709,b,2,3,8,8,7
14,Reward,RTreat,-1.257508319,-0.912366902,-1.066383808,1,13.98340938,2.625424598,-1.084027309,-1.440269958,-1.913424338,b,0,3,8,7,6
15,Cost,Left,-0.149038184,0.33807905,0.085914878,1,5.409608904,5.055959146,0.527339697,0.523354882,0.266740723,b,,0,5,7,3
15,Reward,LTreat,-0.841902635,-0.457271882,-0.644558295,1,34.098863,36.53221102,-1.084027309,-0.347843805,-0.092544349,b,0,4,8,8,7
15,Reward,RTreat,0.464996937,0.820132226,0.637183615,1,44.8588224,52.47503504,0.892728372,0.236505982,0.76362553,b,0,4,8,6,7
16,Cost,Left,-0.328961989,0.127057992,-0.092813926,1,5.25537538,4.960576851,-0.551309684,0.413287944,0.202858755,b,7,0,3,7,2
16,Reward,LTreat,0.352376032,0.691905996,0.524678748,1,53.33071791,57.33915363,0.892728372,0.69659604,1.024840972,b,7,3,8,7,7
16,Reward,RTreat,-0.942528773,-0.636804765,-0.790544828,1,24.12894784,25.77686447,-1.084027309,-0.889288023,-0.670133598,b,5,1,8,7,6
17,Cost,Left,-0.647930548,-0.132341414,-0.388618393,1,4.605675083,5.119194969,-0.982769436,-0.050363021,0.309092701,b,7,0,3,7,2
17,Reward,LTreat,-1.415640088,-0.950925923,-1.169302631,1,18.92985679,15.88438603,-1.084027309,-1.171639251,-1.201384652,b,0,3,8,7,7
17,Reward,RTreat,0.668221654,1.163819157,0.900275247,1,65.77866551,56.9786911,0.892728372,1.372616763,1.005483224,b,0,3,8,7,7
1,Cost,BottomTerrain,-1.147508181,-0.7791151005,-0.9460990127,,2.545073632,2.540953675,-1.115311232,-0.8126670609,-0.8274256225,c,5,0,5,7,2
1,Cost,TopTerrain,0.804790727,1.133773446,0.9629230293,,7.204825701,6.722432063,1.303880001,1.239913667,1.024789201,c,7,0,5,7,8
1,Reward,Treat,-0.9710089906,-0.7426328302,-0.8537162264,,8.494324147,0,-1.112697281,-0.6218899814,-1.084918806,c,7,3,8,4,7
2,Cost,BottomTerrain,0.8049138268,1.065596383,0.9320158422,,6.733177969,6.764530774,0.9762085664,1.032156896,1.043437117,c,5,0,5,7,2
2,Cost,TopTerrain,-0.8326786089,-0.32104268,-0.5692887548,,3.738050543,3.562936158,-0.7876397972,-0.2871709873,-0.3747314009,c,7,0,5,7,8
2,Reward,Treat,-1.124594326,-0.8460301407,-0.9755861949,,0.393159169,0,-1.112697281,-1.248550831,-1.084918806,c,5,3,8,8,7
3,Cost,BottomTerrain,-0.7625866387,-0.1287482392,-0.4373389101,,2.350087285,2.400854505,-0.5157422234,-0.8985568705,-0.8894835205,c,7,0,5,7,3
3,Cost,TopTerrain,0.07030541217,0.5496573341,0.2996547916,,5.996415031,6.622576934,0.09544634002,0.7076191551,0.9805576796,c,7,0,5,7,7
3,Reward,Treat,1.0831828,1.326154855,1.197997849,,34.42165981,22.18963257,0.8345229604,1.383703813,0.6413526075,c,7,3,8,8,7
4,Cost,BottomTerrain,0.6210318227,0.966389974,0.7674968543,,4.469698051,5.531339284,0.9762085664,0.0351134502,0.4971864019,c,5,0,5,7,2
4,Cost,TopTerrain,-0.7393691163,-0.4128384839,-0.5701307328,,0.023723002,0.019975443,-0.9805244009,-1.923300338,-1.944110397,c,5,0,5,7,7
4,Reward,Treat,0.5761282769,0.8571142262,0.7182485947,,18.53117956,28.98466824,0.8345229604,0.1545050632,1.169981272,c,7,3,8,8,7
5,Cost,BottomTerrain,-1.029882299,-0.5358577474,-0.7680416738,,2.551009673,2.344575022,-1.115311232,-0.8100522859,-0.9144129075,c,,0,5,7,2
5,Cost,TopTerrain,0.6319065941,1.07893436,0.8376894393,,7.114041181,6.676697494,1.303880001,1.199923866,1.004530757,c,5,0,5,7,8
5,Reward,Treat,-1.050731925,-0.7654157454,-0.8952478454,,1.750461557,0,-1.112697281,-1.143557504,-1.084918806,c,7,3,,8,7
6,Cost,BottomTerrain,0.385011591,0.7789607832,0.5747248459,,6.67567701,6.625944926,0.9762085664,1.006828217,0.982049555,c,5,0,5,7,2
6,Cost,TopTerrain,-1.229479496,-0.7814997804,-1.002789345,,3.622730052,3.6367741,-0.7876397972,-0.3379686722,-0.3420243729,c,,0,5,7,8
6,Reward,Treat,0.2017756973,0.4340571725,0.31894455,,22.49730211,22.12426902,0.8345229604,0.4613021394,0.6362675648,c,7,4,8,8,7
7,Cost,BottomTerrain,-1.053800892,-0.6766620673,-0.8605824475,,2.371287107,2.410036892,-0.9805244009,-0.8892185312,-0.8854161186,c,5,0,5,7,2
7,Cost,TopTerrain,0.3172513428,0.9203962579,0.5881423964,,6.640966358,6.655800883,0.9762085664,0.9915384736,0.995274458,c,5,0,5,7,8
7,Reward,Treat,0.4636571726,0.9846961811,0.6902685065,,28.1340761,22.50021443,0.8345229604,0.8973314746,0.6655147284,c,7,3,8,8,7
8,Cost,BottomTerrain,-0.9078689302,-0.3638650868,-0.6196841249,,2.493001368,2.378864854,-1.115311232,-0.8356044455,-0.8992239888,c,5,0,5,7,3
8,Cost,TopTerrain,0.7571734762,1.047680212,0.8972270041,,6.66215829,6.763555256,1.303880001,1.000873337,1.043005004,c,5,0,5,7,8
8,Reward,Treat,-1.189214715,-1.075542944,-1.133011563,,0.138836678,0,-1.112697281,-1.268223798,-1.084918806,c,5,3,8,8,7
9,Cost,BottomTerrain,0.8034390628,1.158320661,0.9518938919,,7.202434447,6.702406368,0.9762085664,1.23886034,1.01591868,c,,0,5,7,3
9,Cost,TopTerrain,-1.14679464,-0.6020510411,-0.8602329513,,3.455827626,3.419345354,-0.7876397972,-0.411487756,-0.4383359424,c,5,0,5,7,8
9,Reward,Treat,-1.016012917,-0.7753961261,-0.889777731,,7.12557052,0,-1.112697281,-0.7277691128,-1.084918806,c,7,3,8,8,7
10,Cost,BottomTerrain,0.4249780868,0.8368665731,0.6205678548,,6.055195024,6.724533616,-0.5552487085,0.7335112367,1.025720098,c,,0,5,7,3
10,Cost,TopTerrain,-0.9529502208,-0.538563694,-0.7331296079,,2.339113573,2.411442829,-0.5157422234,-0.9033906963,-0.8847933491,c,,0,5,7,7
10,Reward,Treat,1.007267587,1.309204705,1.153964919,,34.70220985,22.58082842,0.8345229604,1.405405596,0.6717861989,c,5,3,8,4,7
11,Cost,BottomTerrain,-0.7650796433,-0.2204546053,-0.4791447056,,0.019679734,0.013495698,-1.308195836,-1.925081363,-1.946980645,c,5,0,5,7,3
11,Cost,TopTerrain,0.4125501795,0.850030289,0.6228283722,,4.146578904,4.191427363,1.303880001,-0.1072177563,-0.0963368671,c,5,0,5,7,7
11,Reward,Treat,0.4234096794,0.7110338946,0.5633466961,,21.58495727,32.10937517,0.8345229604,0.3907282411,1.413071924,c,7,3,8,8,7
12,Cost,BottomTerrain,-1.09296197,-0.6776293595,-0.875099171,,2.391476844,2.446392375,-1.115311232,-0.8803251256,-0.8693122055,c,5,0,5,7,2
12,Cost,TopTerrain,0.4577925864,0.9219935073,0.6751187973,,6.683358053,6.74157273,1.303880001,1.010211651,1.033267692,c,5,0,5,7,8
12,Reward,Treat,0.2016937646,0.5160569076,0.3546708686,,22.50028399,22.74256713,0.8345229604,0.4615328009,0.6843688729,c,7,3,8,8,7
13,Cost,BottomTerrain,0.6509151805,1.041412158,0.8327722212,,7.144176553,6.750350117,0.9762085664,1.213198239,1.037155696,c,5,0,5,7,3
13,Cost,TopTerrain,-1.059768288,-0.5743189658,-0.8022030608,,3.394882394,3.473098018,-0.7876397972,-0.4383336068,-0.4145258274,c,5,0,5,7,8
13,Reward,Treat,-1.153355751,-0.9883420388,-1.069977258,,1.734032649,0,-1.112697281,-1.144828352,-1.084918806,c,5,3,,8,7
14,Cost,BottomTerrain,0.5765480066,0.9496103906,0.7499104913,,6.54765647,6.557185582,0.6462132203,0.9504362701,0.9515921272,c,5,0,5,8,6
14,Cost,TopTerrain,-0.9749417456,-0.6283055757,-0.7892013337,,2.347244022,2.36047184,-0.6505290548,-0.8998093034,-0.9073713018,c,5,0,5,7,8
14,Reward,Treat,0.6591184213,1.002247811,0.8198748357,,29.46533795,22.00732388,0.8345229604,1.000310452,0.6271696651,c,7,10,8,8,7
